metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698541.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	8	1	-22.88	91.67	56.62	4	1	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	55	1	-19.08	91.86	49.96	10	1	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	46	1	-18.60	88.92	50.51	9	1	
4698542.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	15	1	-15.64	88.06	44.93	7	1	
4698578.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	59	1	-21.68	89.88	54.61	9	1	
4698549.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	27	1	-18.64	89.88	50.04	7	1	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	41	2	-21.29	90.10	53.93	9	1	
4698551.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	25	1	-17.79	94.69	46.00	7	1	
4698556.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	17	1	-18.94	85.25	50.56	6	1	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	33	3	-22.00	93.97	53.84	9	1	
4698547.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	27	2	-15.75	90.53	44.62	7	1	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	48	4	-16.56	80.37	49.65	16	1	
4698581.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	20	2	-24.17	83.06	60.61	9	1	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	40	5	-15.57	81.10	47.73	15	1	
4698549.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	21	4	-14.00	84.68	42.30	8	1	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	33	1	-16.00	77.50	51.03	14	1	
4698574.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	12	1	-18.17	78.45	53.58	10	1	
4698570.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	11	1	-15.36	81.94	46.91	8	1	
4698551.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	20	2	-15.33	81.47	46.78	10	1	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	28	4	-19.58	79.42	55.46	12	1	
4698547.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	14	3	-10.57	83.83	36.64	5	1	
4698568.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	10	3	-19.38	70.11	61.88	5	1	
4698582.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	146	6	-22.01	95.50	53.61	22	1	
4698581.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	44	1	-24.95	97.37	57.36	8	1	
4698548.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	128	4	-21.50	95.18	52.88	17	1	
4698549.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	63	8	-25.70	86.06	65.63	16	1	
4698577.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	106	3	-25.96	96.09	59.65	18	1	
4698562.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	14	1	-23.93	94.31	57.50	7	1	
4698570.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	27	1	-22.43	92.80	55.43	11	1	
4698551.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	89	1	-21.85	96.47	52.44	15	1	
4698560.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	126	2	-23.36	95.67	55.21	21	1	
4698563.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	38	1	-28.38	95.80	63.17	10	1	
4698554.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	11	1	-19.45	95.59	49.55	4	1	
4698547.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	65	3	-24.72	87.36	62.98	16	1	
4698582.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	146	1	-22.45	93.99	56.56	14	1	
4698549.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	59	7	-23.66	88.36	61.66	8	1	
4698574.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	44	1	-21.63	91.55	57.56	9	1	
4698570.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	43	1	-22.25	91.79	57.02	7	1	
4698551.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	76	1	-20.49	95.19	52.29	10	1	
4698560.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	102	1	-22.38	94.30	56.03	9	1	
4698547.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Phosphate transport system regulatory protein PhoU	57	1	-20.69	91.29	54.56	9	1	
4698541.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	53	1	-23.20	93.02	56.57	10	1	
4698582.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	499	18	-22.96	93.78	56.44	34	1	
4698581.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	172	2	-27.62	93.12	64.58	19	1	
4698548.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	427	11	-22.45	94.05	55.53	33	1	
4698579.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	58	3	-24.46	93.36	58.48	9	1	
4698578.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	432	2	-24.89	92.34	60.07	21	1	
4698549.3	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon	Polyphosphate kinase (EC 2.7.4.1)	165	13	-25.24	91.46	61.01	19	1	
